nombre;permitir_minuscula;excepcion
alegre;False;-
alegria;False;-
anonima;False;-
arenas;False;-
aro;False;-
arquitectos;False;-
asunta;False;-
barrios;False;-
cabello;False;-
calle;False;-
campana;False;-
capital;False;-
casa;False;-
casas;False;-
celeste;False;-
clara;False;-
claro;False;-
colonia;False;-
comercial;False;-
congregacion;False;-
construccion;False;-
constructora;False;-
consuelo;False;-
consultora;False;-
contratistas;False;-
coronado;False;-
coronel;False;-
corrales;False;-
correa;False;-
cuadros;False;-
delgado;False;-
diez;False;-
distribuidora;False;-
dolores;False;-
domingo;False;-
educacion;False;-
educativa;False;-
ejecutiva;False;-
empresa;False;-
falabella;False;-
flor;False;-
flores;False;-
hermanas;False;-
huerta;False;-
integra;False;-
intestada;False;-
inversiones;False;-
iris;False;-
isidro;False;-
julio;False;-
justo;False;-
manco;False;-
marco;False;-
mas;False;-
mas;False;-
maximo;False;-
mayor;False;-
mera;False;-
molina;False;-
mosquito;False;-
muneco;False;-
norte;False;-
pampa;False;-
pardo;False;-
paz;False;-
pena;False;-
piedra;False;-
polar;False;-
polo;False;-
posada;False;-
productos;False;-
pueblo;False;-
puente;False;-
quinto;False;QUINTO:
razon;False;-
religiosa;False;-
representacion;False;-
responsabilidad;False;-
robles;False;-
salas;False;-
san;False;-
santos;False;-
segundo;False;SEGUNDO:
segura;False;-
socorro;False;-
supo;False;-
talla;False;-
unidos;False;-
universidad;False;-
usuarios;False;-
virgen;False;-
zapatillas;False;-
